interaction_id,session_id,user_id,timestamp_utc,split,channel,use_case,country_code,region,account_tier,segment,instruction_template,model_provider,model_name,temperature,top_p,max_tokens,prompt_tokens,completion_tokens,total_tokens,latency_ms,cost_usd,response_quality_score,is_failure,failure_type,hallucination_flag,toxicity_flag,safety_block_flag,formatting_error_flag,tool_error_flag,latency_timeout_flag,tool_calls_count,tools_used,user_feedback_score,user_feedback_label,user_reported_issue,retry_index,repair_strategy,final_resolution_state,business_impact_tag,request_text,response_text_snippet,tokens_per_second,date_utc,hour_of_day_utc,day_of_week,is_weekend,is_peak_hour,prompt_to_completion_ratio,request_text_template,instruction_text,user_feedback_observed,prompt_id,response_text_snippet_len_chars,response_text_snippet_is_truncated
INT000001,S01207,U00013,2025-03-25 11:14:35+00:00,train,web_app,coding_assistant,BR,AMER,pro,enterprise_team,creative_writer,meta,llama-3.1-70b,0.257,0.898,768,186,422,608,615,0.1216,0.846,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,medium,"Can you help me debug this? I'm getting a Python error: `NullPointerException`. Can you explain what it means and how to fix it? A short, clear answer would be ideal.","Let's turn this into a reliable workflow. Goal: handle unit test mocking reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure...",988.6178861788618,2025-03-25,11,1,False,True,0.4408,I'm getting a Python error: `NullPointerException`. Can you explain what it means and how to fix it?,"You are a senior software engineer helping users with code, debugging, and best practices. Provide clear explanations, structured steps, and high-quality code examples when relevant.",True,83c939e9b891e505ac06548e158556e919317a64,216,True
INT000002,S01119,U00017,2025-02-23 04:08:56+00:00,val,mobile_app,customer_support,IN,APAC,free,individual,general_assistant,anthropic,claude-3.5-sonnet,0.806,0.89,768,701,410,1111,1194,0.35552,0.352,True,formatting_error,False,False,False,True,False,False,0,none,,no_feedback,False,0,enable_tools,escalated_to_human,high,I'm stuck on this and need some guidance: Our customer is getting an error when trying to log in to their account. Can you help me debug this? Please explain step by step.,Let's break this down into actionable steps. Signal: formatting_error while working on missing feature. Quick diagnosis: Use constrained generation (schema-first prompt) and add unit tests for formatting....,930.4857621440536,2025-02-23,4,6,True,False,1.7098,Our customer is getting an error when trying to log in to their account. Can you help me debug this?,"You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,a52fb80193c7c0769c0836852624f4b025a04d2a,207,True
INT000003,S00653,U00155,2025-02-25 17:31:08+00:00,train,web_app,brainstorming,GB,EMEA,free,team,code_assistant_secure,google,gemini-1.5-pro,0.412,0.898,1024,425,131,556,1196,0.17792,0.543,True,safety_block,False,False,True,False,False,False,0,none,,no_feedback,False,0,manual_post_edit,abandoned,low,Context for you: Brainstorm taglines for a productivity app that helps engineers stay focused.,This is a common pattern; the fix is straightforward. Signal: safety_block while working on LLMOps dashboards. Quick diagnosis: Log the trigger category to tune your safety policy. Recommended actions: - Add timeouts and...,464.8829431438127,2025-02-25,17,1,False,True,3.2443,Brainstorm taglines for a productivity app that helps engineers stay focused.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",False,9886b059d7fa547dc6fd91d4a5c80abdb317022d,223,True
INT000004,S00103,U00263,2025-03-14 17:42:16+00:00,train,web_app,content_writing,AU,APAC,free,team,creative_writer,google,gemini-1.5-pro,0.637,0.822,1024,1173,545,1718,1266,0.54976,0.888,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,high,"I'm working on something and need help: Draft a friendly email announcing a small price increase to our existing customers. A short, clear answer would be ideal.","Here's what I'd implement in production. Goal: handle tool calling reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. - Use schema...",1357.0300157977883,2025-03-14,17,4,False,True,2.1523,Draft a friendly email announcing a small price increase to our existing customers.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",False,469eb15f8b08d9b4130e14a6c3888f14e335a854,236,True
INT000005,S01553,U00118,2025-02-24 00:39:04+00:00,train,api,data_analysis,IN,APAC,enterprise,individual,support_strict,meta,llama-3.1-8b,0.414,0.949,512,65,431,496,833,0.0297599999999999,0.755,False,none,False,False,False,False,False,False,2,email_send|knowledge_lookup,0.0,neutral,False,0,none,auto_resolved,low,"Quick question: I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type. A short, clear answer would be ideal.","Let's turn this into a reliable workflow. Goal: handle safety flag rate reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from propagating. - Start by writing a small...",595.4381752701081,2025-02-24,0,0,False,False,0.1508,I have a CSV with user sessions. Show me a quick breakdown of sessions per country and device type.,"You are a data analysis assistant helping users reason about data, metrics, and models. Explain trade-offs, outline steps, and keep the language accessible but precise.",True,a15ac130f4f428f0efac738d5c68655674fccc6e,251,True
INT000006,S00993,U00038,2025-02-21 08:23:26+00:00,train,api,customer_support,GB,EMEA,free,individual,general_assistant,meta,llama-3.1-70b,0.596,0.945,768,255,77,332,1517,0.0664,0.927,False,none,False,False,False,False,False,False,2,sql_query|workflow_orchestrator,,no_feedback,False,0,none,auto_resolved,low,"Context for you: Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it? A short, clear answer would be ideal.","Here's the clean way to approach it. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Add telemetry fields...",218.85299934080425,2025-02-21,8,4,False,False,3.3117,"Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it?","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,a52fb80193c7c0769c0836852624f4b025a04d2a,244,True
INT000007,S00928,U00216,2025-02-21 07:15:08+00:00,train,web_app,content_writing,IN,APAC,enterprise,team,support_strict,local,custom-local-8b,0.636,0.893,1024,528,949,1477,2135,0.00592,0.875,False,none,False,False,False,False,False,False,0,none,0.0,neutral,False,0,none,auto_resolved,medium,Rewrite this paragraph in a clearer and more professional tone. Please explain step by step.,"Let's turn this into a reliable workflow. Goal: handle tool calling reliably, with guardrails for formatting and failure handling. Plan: - Prefer simple baselines first; then iterate based on measured failure slices. - Use schema validation (e.g.,...",691.8032786885246,2025-02-21,7,4,False,False,0.5564,Rewrite this paragraph in a clearer and more professional tone.,"You are a writing assistant helping users craft clear, engaging, and well-structured content. Keep the tone natural, readable, and aligned with the user's intent.",True,75b7366387b6cf4f5631ec9dd298a359e5bb9c1d,250,True
INT000008,S01286,U00160,2025-02-05 15:31:31+00:00,train,api,customer_support,EG,EMEA,enterprise,team,support_strict,meta,llama-3.1-70b,0.385,0.911,256,1248,65,1313,808,0.2626,0.719,False,none,False,False,False,False,False,False,0,none,,no_feedback,False,0,none,auto_resolved,medium,"Quick question: Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it? Please explain step by step.","We can make this robust with a few changes. Goal: handle data export request reliably, with guardrails for formatting and failure handling. Plan: - Use schema validation (e.g., Pydantic) to prevent bad inputs from...",1625.0,2025-02-05,15,2,False,True,19.2,"Hi, I'm having an issue with my billing. The invoice total doesn't match what I expected. Can you check it?","You are a helpful customer support assistant for a SaaS product. Answer clearly, empathetically, and step-by-step while keeping the response concise and practical.",False,d029d0919f8e306d09ca7001d500c1e6f1c81007,216,True
INT000009,S00864,U00414,2025-04-16 16:52:44+00:00,train,api,brainstorming,GB,EMEA,free,team,code_assistant_secure,meta,llama-3.1-8b,0.505,0.869,2048,634,217,851,1652,0.05108,0.843,False,none,False,False,False,False,False,False,0,none,2.0,positive,False,0,none,auto_resolved,high,Context for you: Give me ten creative ideas for a YouTube series about learning data science from scratch.,"We can make this robust with a few changes. Goal: handle incident response automation reliably, with guardrails for formatting and failure handling. Plan: - Add telemetry fields for latency/tokens/cost so you can debug regressions quickly. -...",515.133171912833,2025-04-16,16,2,False,True,2.9217,Give me ten creative ideas for a YouTube series about learning data science from scratch.,"You are a creative assistant helping users explore ideas and options. Suggest multiple alternatives, structure them clearly, and stay practical.",True,9886b059d7fa547dc6fd91d4a5c80abdb317022d,244,True
INT000010,S01003,U00017,2025-03-28 10:07:54+00:00,train,internal_tool,internal_qa,IN,APAC,free,individual,support_strict,google,gemini-1.5-pro,0.592,0.93,1024,965,285,1250,3052,0.4,0.638,True,safety_block,False,False,True,False,False,False,0,none,,no_feedback,False,2,switch_model_family,auto_resolved,low,"Quick question: Follow-up: the previous reply did not fully solve the issue. Summarise this internal security policy into three bullet points for non-technical employees. A short, clear answer would be ideal.",Let's make the behavior deterministic and observable. Signal: safety_block while working on provider degradation. Quick diagnosis: Refuse safely and offer a legitimate alternative or a high-level...,409.56749672346,2025-03-28,10,4,False,True,3.386,Follow-up: the previous reply did not fully solve the issue. Summarise this internal security policy into three bullet points for non-technical employees.,"You are an internal knowledge assistant helping teammates navigate documentation, policies, and internal tools. Be precise, concise, and point to relevant information and next steps.",False,4e3bb3b7c597daf93de3f611632f4c56cefdec0e,198,True
